	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
49	Rechtbank Overijssel	01-11-2022	08-11-2022	9680063 \ CV EXPL  22-489	Civiel recht	Eerste aanleg - enkelvoudig	Eiser heeft werkzaamheden uitgevoerd voor gedaagde en heeft daarvoor een factuur naar gedaagde verstuurd. Gedaagde wil deze factuur niet betalen omdat eiser niet transparant geweest is over de kosten die hij in rekening brengt. De kantonrechter oordeelt dat eiser niet voldaan heeft aan op hem rustende informatieverplichtingen en is daarom van plan als sanctie de betalingsverplichting van gedaagde met 25% te verminderen.	Rechtspraak.nl	Verrijkte uitspraak		
50	Rechtbank Gelderland	01-11-2022	08-11-2022	C/05/408372 / KG ZA 22-285	Civiel recht	Kort geding	Kort geding. Derde juridische procedure tussen kinderen over het (niet) verkopen van de woning van moeder, die elders wordt verzorgd. Eiseres in conventie is niet vertegenwoordigingsbevoegd ten aanzien van de woning en is in haar vorderingen niet-ontvankelijk. In reconventie staat artikel 236 lid 1 Rv niet aan toewijsbaarheid in de weg en is geen sprake van misbruik van procesrecht. Belangenafweging. Vordering ten aanzien van aan moeder geadresseerde post te ruim en onbepaald en onvoldoende onderbouwd. Afwijzing reconventionele vorderingen.	Rechtspraak.nl	Verrijkte uitspraak		
51	Rechtbank Gelderland	01-11-2022	08-11-2022	C/05/409197 / KG ZA 22-300	Civiel recht	Kort geding	Kort geding. Onderhandse uitgifte grond in erfpacht. Uitgifteprocedure tussentijds gestaakt vanwege het Didam-arrest. Gedaagde mocht voorbereidende contractsbesprekingen over gronduitgifte staken. Geen schending vertrouwensbeginsel. Vordering afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
52	Rechtbank Zeeland-West-Brabant	01-11-2022	09-11-2022	C/02/396509 FA RK 22-1622	Personen- en familierecht	Rekestprocedure	Vaststelling hoofdverblijfplaats en wijziging zorgregeling in verhouding tot schorsingsvoorwaarden voorlopige hechtenis minderjarige. Afwijzing onderzoek raad voor de kinderbescherming. Verwijzing geldvordering naar kantonrechter	Rechtspraak.nl	Verrijkte uitspraak		
53	Rechtbank Overijssel	01-11-2022	09-11-2022	10094422 \ EJ VERZ  22-231	Civiel recht	"Eerste aanleg - enkelvoudig
Beschikking"	Betreft een verzoek om ontruimingsbescherming ex artikel 7:230a BW. De kantonrechter wijst de vordering deels toe, en verlengt de ontruimingstermijn met enkele maanden. Verhuurder heeft zelf al enig uitstel toegestaan en de belangen van de huurder om nog niet te hoeven ontruimen wegen (korte tijd) zwaarder dan het belang van de verhuurder bij ontruiming. Het verzoek van de verhuurder om gedurende de verlengde ontruimingstermijn een hogere gebruiksvergoeding toe te kennen, wordt afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
54	Rechtbank Noord-Nederland	01-11-2022	09-11-2022	9275599	Civiel recht	"Bodemzaak
Eerste en enige aanleg
Proceskostenveroordeling
Schadevergoedingsuitspraak
Op tegenspraak"	Wateroverlast na hevige regenval. Lekkage in kelder. Eiser stelt gedaagde, een verderop wonende buurman, aansprakelijk voor de schade op grond van onrechtmatige daad. Gedaagde heeft ontheffing van het waterschap om perceel te bemalen, maar heeft de bemalingsinstallatie tijdelijk buiten bedrijf gesteld in verband met verbouwingswerkzaamheden	Rechtspraak.nl	Verrijkte uitspraak		
55	Rechtbank Rotterdam	31-10-2022	31-10-2022	C/10/638164 / HA ZA 22-404	Civiel recht	Eerste aanleg - enkelvoudig	Onderaanneming. Onderaannemer vordert betaling van facturen door aannemer. Aannemer stelt schade te hebben geleden door werkzaamheden van onderaannemer en doet een beroep op verrekening. Beroep op verrekening slaagt niet.	Rechtspraak.nl	Verrijkte uitspraak		
56	Rechtbank Overijssel	31-10-2022	01-11-2022	C/08/285524 / KG RK 22-378	Civiel recht	Wraking	De wrakingskamer overweegt dat wraking een verzoek is om een voor de behandeling van de zaak aangewezen rechter doen vervangen door een andere rechter. Een verzoek tot wraking kan in beginsel in elke stand van de procedure worden gedaan, mits de behandeling van de zaak nog niet is geëindigd door het wijzen van een einduitspraak. De onpartijdigheid kan daarom alleen vóór de beslissing worden getoetst, maar niet meer tijdens of naderhand. Op basis van gemeld proces-verbaal van de zitting van 31 augustus 2022 stelt de wrakingskamer vast dat de rechter de mondelinge behandeling van de Mulder beroepszaak van verzoeker had gesloten en daarna direct was begonnen met het uitspreken van (de motivering van) zijn uitspraak toen hij door verzoeker werd gewraakt. Onder deze omstandigheden is de wrakingskamer van oordeel dat het verzoek pas is gedaan na het tijdstip waarop in de hoofdzaak uitspraak werd gedaan, een en ander als bedoeld in artikel 5 lid 2 sub d van het Wrakingsprotocol. Dit betekent dat het verzoek ongegrond is.	Rechtspraak.nl	Verrijkte uitspraak		
57	Rechtbank Overijssel	31-10-2022	01-11-2022	10122896 \ CV EXPL  22-2211	Civiel recht	Eerste aanleg - enkelvoudig	Partijen huren beiden een etage van hetzelfde gebouw en huren beiden (volledig) het bij het gebouw behorende terrein. Gedaagde heeft twee camera’s in gebruik die gericht zijn op het terrein. Eiser stelt dat hij zijn woning niet in of uit kan zonder in beeld van de camera’s te lopen en dat dit een inbreuk op zijn privacy is. Hij vordert onder meer verwijdering van de camera’s en een verbod op het plaatsen van nieuwe camera’s op straffe van een dwangsom. De kantonrechter oordeelt dat eiser een spoedeisend belang heeft bij zijn vorderingen en dat er sprake is van een inbreuk op zijn privacy, maar dat het belang van gedaagde bij het gebruik van de camera’s zwaarder weegt dan het belang van eiser bij bescherming van zijn privacy. Er is daarom geen sprake van een onrechtmatige inbreuk op de privacy van eiser. De vorderingen worden afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
58	Rechtbank Den Haag	31-10-2022	04-11-2022	FT RK 22/487	Insolventierecht	Eerste aanleg - enkelvoudig	Toewijzing verzoek dwangakkoord. Maximaal haalbare. Weigering i.v.m. alimentatie en ernstig verstoorde relatie. Niet-zakelijke redenen.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 287a	
